,freqs,usess,value
245,"469,4500-469,7000",nan,1
246,"469,7000-470,0000",nan,1
247,"470,0000 - 608,0000","RADIODIFUZIUNE
Mobil",1
248,"608,0000 - 614,0000","RADIODIFUZIUNE
Mobil",1
249,"608,0000 - 614,0000","Radioastronomie 5.306
5.149",1
250,"614,0000 – 694,0000","RADIODIFUZIUNE
Mobil",1
251,"694,0000 – 698,0000","MOBIL cu excepția mobil
aeronautic 5.312A 5.317A",1
252,"698,0000 – 703,0000",nan,1
253,"703,0000 – 733,0000",nan,1
254,"733,0000 – 736,0000",nan,1
255,"736,0000 – 753,0000",nan,1
256,"753,0000  - 758,0000",nan,1
257,"758,0000 – 788,0000",nan,1
258,"788,0000 – 790,0000",nan,1
259,"790,0000 - 791,0000","MOBIL cu excepţia mobil
aeronautic 5.316B  5.317A",1
260,"791,0000 – 862,0000",nan,1
261,"862,0000 - 870,0000",MOBIL,1
262,"862,0000 - 870,0000","5.323
ECA13 ECA36",1
263,"870,0000-876,0000",MOBIL,1
264,"870,0000-876,0000","5.319  5.323
ECA13",1
265,"870,0000-876,0000",ECA36,1
266,"876,000 – 880,000",MOBIL,1
267,"876,000 – 880,000","5.319  5.323
ECA13 ECA36",1
268,"880,0000-890,0000","MOBIL 5.317A
5.319
ECA32",1
269,"890,0000 – 915,0000","MOBIL 5.317A
ECA32",1
270,"915,0000 – 921,0000",MOBIL,1
271,"915,0000 – 921,0000",Radiolocație,1
272,"915,0000 – 921,0000",5.323ECA13,1
273,"915,0000 – 921,0000",ECA14,1
274,"915,0000 – 921,0000",ECA36,1
275,"921,0000 – 925,0000",MOBIL,1
276,"921,0000 – 925,0000",Radiolocatie,1
277,"921,0000 – 925,0000",5.323,1
278,"921,0000 – 925,0000",ECA13,1
279,"921,0000 – 925,0000",ECA14,1
280,"921,0000 – 925,0000",ECA36,1
281,"925,0000 – 942,0000",MOBIL 5.317A ECA32,1
282,"942,0000 – 960,0000",MOBIL 5.317A ECA32,1
283,"960,00 – 1164,00",MOBIL AERONAUTIC (R) 5.327A,1
284,"960,00 – 1164,00","RADIONAVIGAŢIE
AERONAUTICĂ  5.328
MOBIL AERONAUTIC PRIN SATELIT (R)",1
