,freqs,usess,value
231,"15800,00 – 16100,00",FIX,1
232,"16100,00 – 16200,00",FIX,1
233,"16100,00 – 16200,00",RADIOLOCATIE,1
234,"16200,00 – 16360,00",FIX,1
235,"16360,00 – 17410,00",MOBIL MARITIM,1
236,"17410,00 – 17480,00",FIX,1
237,"17480,00 – 17550,00",RADIODIFUZIUNE,1
238,"17550,00 – 17900,00",RADIODIFUZIUNE,1
239,"17900,00 – 17970,00",MOBIL AERONAUTIC (R),1
240,"17970,00 – 18030,00",MOBIL AERONAUTIC (OR),1
241,"18030,00 – 18052,00",FIX,1
242,"18052,00 – 18068,00",FIX,1
243,"18052,00 – 18068,00",CERCETARE SPAŢIALĂ,1
244,"18068,00 – 18168,00",AMATOR,1
245,"18068,00 – 18168,00",AMATOR PRIN SATELIT,1
246,"18168,00 – 18780,00",FIX,1
247,"18168,00 – 18780,00",MOBIL CU EXCEPŢIA MOBIL AERONAUTIC,1
248,"18780,00 – 18900,00",MOBIL MARITIM,1
249,"18900,00 – 19020,00",RADIODIFUZIUNE,1
250,"19020,00 – 19680,00",FIX,1
251,"19680,00 – 19800,00",MOBIL MARITIM,1
252,"19800,00 – 19990,00",FIX,1
253,"19990,00 – 19995,00",CERCETARE SPAŢIALĂ,1
254,"19990,00 – 19995,00",FRECVENŢE ETALON ŞI SEMNALE ORARE,1
255,"19995,00 – 20010,00",FRECVENŢE ETALON ŞI SEMNALE ORARE,1
256,"20010,00 – 21000,00",FIX,1
257,"20010,00 – 21000,00",MOBIL,1
258,"21000,00 – 21450,00",AMATOR,1
259,"21000,00 – 21450,00",AMATOR PRIN SATELIT,1
260,"21450,00 – 21850,00",RADIODIFUZIUNE,1
261,"21850,00 – 21870,00",FIX,1
262,"21870,00 – 21924,00",FIX,1
263,"21924,00 – 22000,00",MOBIL AERONAUTIC (R),1
264,"22000,00 – 22855,00",MOBIL MARITIM,1
265,"22855,00 – 23000,00",FIX,1
266,"23000,00 – 23200,00",FIX,1
267,"23000,00 – 23200,00",MOBIL CU EXCEPŢIA MOBIL AERONAUTIC (R),1
268,"23200,00 – 23350,00",FIX,1
269,"23200,00 – 23350,00",MOBIL AERONAUTIC (OR),1
270,"23350,00 – 24000,00",FIX,1
271,"23350,00 – 24000,00",MOBIL CU EXCEPŢIA MOBIL AERONAUTIC,1
272,"24000,00 – 24450,00",FIX,1
273,"24000,00 – 24450,00",MOBIL TERESTRU,1
274,"24450,00 – 24600,00",FIX,1
275,"24450,00 – 24600,00",RADIOLOCAȚIE,1
276,"24450,00 – 24600,00",MOBIL TERESTRU,1
277,"24600,00 – 24890,00",FIX,1
278,"24600,00 – 24890,00",MOBIL TERESTRU,1
279,"24890,00 – 24990,00",AMATOR,1
280,"24890,00 – 24990,00",AMATOR PRIN SATELIT,1
281,"24990,00 – 25005,00",FRECVENŢE ETALON ŞI SEMNALE ORARE,1
282,"25005,00 – 25010,00",CERCETARE SPAŢIALĂ,1
283,"25005,00 – 25010,00",FRECVENŢE ETALON ŞI SEMNALE ORARE,1
284,"25010,00 – 25070,00",FIX,1
285,"25010,00 – 25070,00",MOBIL CU EXCEPŢIA MOBIL AERONAUTIC,1
286,"25070,00 – 25210,00",MOBIL MARITIM,1
287,"25210,00 – 25550,00",FIX,1
288,"25210,00 – 25550,00",MOBIL CU EXCEPŢIA MOBIL AERONAUTIC,1
289,"25550,00 – 25670,00",RADIOASTRONOMIE,1
290,"25670,00 – 26100,00",RADIODIFUZIUNE,1
291,"26100,00 – 26175,00",MOBIL MARITIM,1
292,"26175,00 – 26200,00",FIX,1
293,"26175,00 – 26200,00",MOBIL CU EXCEPŢIA MOBIL AERONAUTIC,1
294,"26200,00 – 26350,00",FIX,1
295,"26200,00 – 26350,00",MOBIL CU EXCEPŢIA MOBIL AERONAUTIC,1
296,"26200,00 – 26350,00",RADIOLOCAȚIE,1
297,"26350,00 – 27500,00",FIX,1
298,"26350,00 – 27500,00",MOBIL CU EXCEPŢIA MOBIL AERONAUTIC,1
299,"27500,00 – 28000,00",FIX,1
300,"27500,00 – 28000,00",AUXILIAR METEOROLOGIC MOBIL,1
301,"28000,00 – 29700,00",AMATOR,1
302,"28000,00 – 29700,00",AMATOR PRIN SATELIT,1
