"Banda de frecvenţe
(GHz)","Atribuiri Regiunea 1 UIT şi
note subsol aplicabile CEPT",Atribuiri în România,Column1,Utilizări în România,Column2,Column3,Column4,Column5,Statut utilizare,Column6
,"MOBIL cu excepţia mobil
aeronautic",MOBIL cu excepţia mobil aeronautic,,,,,,,,
,CERCETARE SPAŢIALĂ,CERCETARE SPAŢIALĂ,,,,,,,,
,5.547,5.547,,,,,,,,
"66,00 – 71,00",INTERSATELIŢI,INTERSATELIŢI,,"Sisteme civile viitoare
Sisteme de transmisiuni de date de
bandă largă (în banda 57-71 GHz)",,,"ERC/REC 70-03
EN 302 567
Decizia 2019/1345/UE (Nota 15)",,NG,
,MOBIL 5.553 5.558,MOBIL 5.553 5.558,,,,,,,,
,MOBIL PRIN SATELIT,MOBIL PRIN SATELIT,,,,,,,,
,RADIONAVIGAŢIE,RADIONAVIGAŢIE,,,,,,,,
,"RADIONAVIGAŢIE PRIN
SATELIT","RADIONAVIGAŢIE PRIN
SATELIT",,,,,,,,
,5.554,5.554,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"71,00 – 73,00","FIX
FIX PRIN SATELIT (spaţiu–
Pământ)","FIX
FIX PRIN SATELIT (spaţiu–
Pământ)",,Linii fixe de foarte mare capacitate,,,ECC/REC/(05)07 EN 302 217,,G/G(A)/NG,
,MOBIL,MOBIL,,,,,,,,
,"MOBIL PRIN SATELIT (spaţiu–
Pământ)","MOBIL PRIN SATELIT (spaţiu–
Pământ)",,,,,,,,
"73,00 – 74,00","FIX
FIX PRIN SATELIT (spaţiu–
Pământ)","FIX
FIX PRIN SATELIT (spaţiu–
Pământ)",,Linii fixe de foarte mare capacitate,,,ECC/REC/(05)07 EN 302 217,,NG,
,MOBIL,MOBIL,,,,,,,,
,"MOBIL PRIN SATELIT (spaţiu–
Pământ)","MOBIL PRIN SATELIT (spaţiu–
Pământ)",,,,,,,,
"74,00 – 75,50",RADIODIFUZIUNE,RADIODIFUZIUNE,,"Linii fixe de foarte mare capacitate
Cercetare spațială (măsurări de interferometrie VLBI în cadrul benzii 74–84 GHz)
Aplicaţii de radiodeterminare
(în banda 75–85 GHz pentru aplicaţii
TLPR)
Aplicaţii de radiodeterminare
(în banda 75–85 GHz pentru aplicaţii LPR)",,,"ECC/REC/(05)07 EN 302 217
ERC/REC 70–03
EN 302 372
Decizia 2009/381/CE (Nota 3)
ECC/DEC/(11)02 ERC/REC 70–03
EN 302 729
Decizia 2013/752/UE (Nota 6)",,NG,
,RADIODIFUZIUNE PRIN SATELIT,RADIODIFUZIUNE PRIN SATELIT,,,,,,,,
,FIX,FIX,,,,,,,,
,"FIX PRIN SATELIT (spaţiu–
Pământ)","FIX PRIN SATELIT (spaţiu–
Pământ)",,,,,,,,
,MOBIL,MOBIL,,,,,,,,
,Cercetare spaţială (spaţiu– Pământ),Cercetare spaţială (spaţiu– Pământ),,,,,,,,
,5.561,5.561,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"75,50 – 76,00",RADIODIFUZIUNE,RADIODIFUZIUNE,,"Linii fixe de foarte mare capacitate
Amator (în banda 75,5-81,5 GHz)
Amator prin satelit (în banda 75,5- 81,5 GHz)
Cercetare spațială (măsurări de interferometrie VLBI în cadrul benzii 74–84 GHz)
Aplicaţii de radiodeterminare
(în banda 75–85 GHz pentru aplicaţii
TLPR)
Aplicaţii de radiodeterminare
(în banda 75–85 GHz pentru aplicaţii
LPR)",,,"ECC/REC/(05)07 EN 302 217
ERC/REC 70–03
EN 302 372
Decizia 2009/381/CE (Nota 3)
ECC/DEC/(11)02 ERC/REC 70–03
EN 302 729
Decizia 2013/752/UE (Nota 6)",,NG,
,RADIODIFUZIUNE PRIN SATELIT,RADIODIFUZIUNE PRIN SATELIT,,,,,,,,
,FIX,FIX,,,,,,,,
,"FIX PRIN SATELIT (spaţiu–
Pământ)","FIX PRIN SATELIT (spaţiu–
Pământ)",,,,,,,,
,MOBIL,Amator,,,,,,,,
,Cercetare spaţială (spaţiu– Pământ),"Amator prin satelit
Cercetare spaţială (spaţiu– Pământ)",,,,,,,,
,5.561,,,,,,,,,
,,5.561,,,,,,,,
,,ECA35,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"76,00 – 77,50",RADIOASTRONOMIE,RADIOASTRONOMIE,,"Amator (în banda 75,5-81,5 GHz)",,,,,NG,
,"RADIOLOCAŢIE
Amator
Amator prin satelit","RADIOLOCAŢIE
Amator
Amator prin satelit",,"Amator prin satelit (în banda 75,5- 81,5 GHz)",,,,,,
,"Cercetare spaţială (spaţiu– Pământ)
5.149","Cercetare spaţială (spaţiu– Pământ)
5.149",,"Radiolocaţie (civilă)
Radioastronomie (observații în domeniul continuu și de linii spectrale)",,,,,,
,,,,"Aplicaţii TTT (radare la sol în banda 76–77 GHz de supraveghere a traficului şi a transporturilor rutiere, amplasate pe maşini sau pe infrastructura rutieră; radare pentru detectarea obstacolelor pentru giroavioane în banda 76-77 GHz)",,,"ECC/DEC/(16)01 ERC/REC 70–03
EN 301 091
EN 303 360
Decizia 2010/368/UE (Nota 4)",,,
,,,,Radare de proximitate (SRR) pentru automobile (în banda 77 – 81 GHz),,,"ECC/DEC/(04)03 ERC/REC 70–03
EN 302 264
Decizia 2004/545/CE",,,
,,,,Aplicații feroviare (în banda 76-77 GHz; detecția obstacolelor / vehiculelor la trecerile rutiere la nivel cu calea ferată),,,"ERC/REC 70-03
EN 301 091",,,
,,,,"Aplicaţii de radiodeterminare
(în banda 75–85 GHz pentru aplicaţii
TLPR)",,,"ERC/REC 70–03
EN 302 372
Decizia 2009/381/CE (Nota 3)",,,
,,,,"Aplicaţii de radiodeterminare
(în banda 75–85 GHz pentru aplicaţii
LPR)",,,"ECC/DEC/(11)02 ERC/REC 70–03
EN 302 729
Decizia 2013/752/UE (Nota 6)",,,
,,,,,,,,,,
,,,,,,,,,,
"77,50 – 78,00","AMATOR
AMATOR PRIN SATELIT
Radioastronomie
Cercetare spaţială (spaţiu– Pământ)
5.149","AMATOR
AMATOR PRIN SATELIT
Radioastronomie
Cercetare spaţială (spaţiu– Pământ)
5.149",,"Amator (în banda 75,5-81,5 GHz)
Amator prin satelit (în banda 75,5- 81,5 GHz)
Radioastronomie (observații în domeniul continuu și de linii spectrale)
Radare de proximitate (SRR) pentru automobile (în banda 77 – 81 GHz)
Aplicaţii de radiodeterminare
(în banda 75–85 GHz pentru aplicaţii
TLPR)
Aplicaţii de radiodeterminare
(în banda 75–85 GHz pentru aplicaţii
LPR)",,,"ECC/DEC/(04)03 ERC/REC 70–03
EN 302 264
Decizia 2004/545/CE
ERC/REC 70–03
EN 302 372
Decizia 2009/381/CE (Nota 3)
ECC/DEC/(11)02 ERC/REC 70–03
EN 302 729
Decizia 2013/752/UE (Nota 6)",,NG,
,,,,,,,,,,
,,,,,,,,,,
"78,00 – 79,00","RADIOLOCAŢIE
Amator
Amator prin satelit Radioastronomie
Cercetare spaţială (spaţiu– Pământ)
5.149 5.560","RADIOLOCAŢIE
Amator
Amator prin satelit Radioastronomie
Cercetare spaţială (spaţiu– Pământ)
5.149 5.560",,"Amator (în banda 75,5-81,5 GHz)
Amator prin satelit (în banda 75,5- 81,5 GHz)
Radioastronomie (observații în domeniul continuu și de linii spectrale)
Radare de proximitate (SRR) pentru automobile (în banda 77 – 81 GHz)
Aplicaţii de radiodeterminare
(în banda 75–85 GHz pentru aplicaţii
TLPR)
Aplicaţii de radiodeterminare
(în banda 75–85 GHz pentru aplicaţii
LPR)
Radiolocaţie (civilă)
Radiolocaţie (militară)",,,"ECC/DEC/(04)03 ERC/REC 70–03
EN 302 264
Decizia 2004/545/CE
ERC/REC 70–03
EN 302 372
Decizia 2009/381/CE (Nota 3)
ECC/DEC/(11)02 ERC/REC 70–03
EN 302 729
Decizia 2013/752/UE (Nota 6)",,G(A)/NG,
,,,,,,,,,,
,,,,,,,,,,
"79,00 – 81,00","RADIOASTRONOMIE
RADIOLOCAŢIE
Amator
Amator prin satelit
Cercetare spaţială (spaţiu– Pământ)
5.149","RADIOASTRONOMIE
RADIOLOCAŢIE
Amator
Amator prin satelit 5.149",,"Amator (în banda 75,5-81,5 GHz)
Amator prin satelit (în banda 75,5- 81,5 GHz)
Radioastronomie (observații în domeniul continuu și de linii spectrale)
Radare de proximitate (SRR) pentru automobile (în banda 77 – 81 GHz)
Aplicaţii de radiodeterminare
(în banda 75–85 GHz pentru aplicaţii
TLPR)
Aplicaţii de radiodeterminare
(în banda 75–85 GHz pentru aplicaţii
LPR)
Radiolocaţie (civilă)
Radiolocaţie (militară)",,,"ECC/DEC/(04)03 ERC/REC 70–03
EN 302 264
Decizia 2004/545/CE
ERC/REC 70–03
EN 302 372
Decizia 2009/381/CE (Nota 3)
ECC/DEC/(11)02 ERC/REC 70–03
EN 302 729
Decizia 2013/752/UE (Nota 6)",,G(A)/NG,
,,,,,,,,,,
,,,,,,,,,,
"81,00 – 83,00",FIX 5.338A,FIX 5.338A,,Linii fixe de foarte mare capacitate,,,"ECC/REC/(05)07 EN 302 217
ERC/REC 70–03
EN 302 372
Decizia 2009/381/CE (Nota 3)
ECC/DEC/(11)02 ERC/REC 70–03
EN 302 729
Decizia 2013/752/UE (Nota 6)",,G/G(A)/NG,
,"FIX PRIN SATELIT (Pământ–
spaţiu)
MOBIL","FIX PRIN SATELIT (Pământ–
spaţiu)
MOBIL",,"Amator (în banda 81–81,5 GHz)",,,,,,
,"MOBIL PRIN SATELIT (Pământ–
spaţiu)","MOBIL PRIN SATELIT (Pământ–
spaţiu)",,"Amator prin satelit (în banda 81–81,5 GHz)",,,,,,
,"RADIOASTRONOMIE
Cercetare spaţială (spaţiu– Pământ)","RADIOASTRONOMIE
Cercetare spaţială (spaţiu– Pământ)",,Radioastronomie (observații în domeniul continuu și de linii spectrale),,,,,,
,5.149 5.561A,5.149 5.561A,,"Aplicaţii de radiodeterminare
(în banda 75–85 GHz pentru aplicaţii
TLPR)",,,,,,
,,,,"Aplicaţii de radiodeterminare
(în banda 75–85 GHz pentru aplicaţii
LPR)",,,,,,
"83,00 – 84,00",FIX 5.338A,FIX 5.338A,,Linii fixe de foarte mare capacitate,,,"ECC/REC/(05)07 EN 302 217
ERC/REC 70–03
EN 302 372
Decizia 2009/381/CE (Nota 3)
ECC/DEC/(11)02 ERC/REC 70–03
EN 302 729
Decizia 2013/752/UE (Nota 6)",,NG,
,"FIX PRIN SATELIT (Pământ–
spaţiu)
MOBIL","FIX PRIN SATELIT (Pământ–
spaţiu)
MOBIL",,"Amator (în banda 81–81,5 GHz)",,,,,,
,"MOBIL PRIN SATELIT (Pământ–
spaţiu)","MOBIL PRIN SATELIT (Pământ–
spaţiu)",,"Amator prin satelit (în banda 81–81,5 GHz)",,,,,,
,"RADIOASTRONOMIE
Cercetare spaţială (spaţiu– Pământ)","RADIOASTRONOMIE
Cercetare spaţială (spaţiu– Pământ)",,Radioastronomie (observații în domeniul continuu și de linii spectrale),,,,,,
,5.149 5.561A,5.149 5.561A,,"Aplicaţii de radiodeterminare
(în banda 75–85 GHz pentru aplicaţii
TLPR)",,,,,,
,,,,"Aplicaţii de radiodeterminare
(în banda 75–85 GHz pentru aplicaţii
LPR)",,,,,,
,,,,,,,,,,
,,,,,,,,,,
"84,00 – 86,00","FIX 5.338A
FIX PRIN SATELIT (Pământ–
spaţiu)
MOBIL RADIOASTRONOMIE","FIX 5.338A
FIX PRIN SATELIT (Pământ–
spaţiu) MOBIL
RADIOASTRONOMIE",,"Linii fixe de foarte mare capacitate
Radioastronomie (observații în domeniul continuu și de linii spectrale)",,,ECC/REC(05)07 EN 302 217,,NG,
,5.149,5.149,,"Aplicaţii de radiodeterminare
(în banda 75–85 GHz pentru aplicaţii
TLPR)",,,"ERC/REC 70–03
EN 302 372
Decizia 2009/381/CE (Nota 3)",,,
,,,,"Aplicaţii de radiodeterminare
(în banda 75–85 GHz pentru aplicaţii
LPR)",,,"ECC/DEC/(11)02 ERC/REC 70–03
EN 302 729
Decizia 2013/752/UE (Nota 6)",,,
"86,00 – 92,00","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv) RADIOASTRONOMIE CERCETARE SPAŢIALĂ (pasiv)
5.340","EXPLORAREA PĂMÂNTULUI PRIN SATELIT (pasiv)
RADIOASTRONOMIE
CERCETARE SPAŢIALĂ (pasiv)
5.340",,"Senzori pasivi (la bordul sateliţilor) (măsurarea nebulozităţilor atmosferice, a scurgerilor de petrol, a nivelului gheţii, zăpezii şi precipitaţiilor; este fereastră de referinţă pentru sondarea temperaturii în jurul a 118 GHz)",,,,,NG,
,,,,"Radioastronomie (observații în domeniul continuu și de linii spectrale, interferometrie VLBI)",,,,,,
"92,00 – 94,00","FIX 5.338A
MOBIL","FIX 5.338A
MOBIL",,Linii fixe,,,ECC/REC/(14)01 ECC/REC/(18)02,,G(A)/NG,
,RADIOASTRONOMIE RADIOLOCAŢIE,"RADIOASTRONOMIE
RADIOLOCAŢIE",,Radioastronomie (observații în domeniul continuu și de linii spectrale),,,,,,
,5.149,5.149,,,,,,,,
"94,00 – 94,10","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (activ)","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (activ)",,"Senzori activi (la bordul sateliţilor) (radare pentru profiluri de nori)
Cercetare spaţială
Radioastronomie (observații în domeniul continuu și de linii spectrale)",,,,,G(A)/NG,
,RADIOLOCAŢIE,RADIOLOCAŢIE,,,,,,,,
,CERCETARE SPAŢIALĂ (activ),CERCETARE SPAŢIALĂ (activ),,,,,,,,
,Radioastronomie,Radioastronomie,,,,,,,,
,5.562 5.562A,5.562 5.562A,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"94,10 – 95,00","FIX MOBIL
RADIOASTRONOMIE
RADIOLOCAŢIE
5.149","FIX MOBIL
RADIOASTRONOMIE
RADIOLOCAŢIE
5.149",,"Linii fixe
Radioastronomie (observații în domeniul continuu și de linii spectrale)",,,ECC/REC/(14)01 ECC/REC/(18)02,,G(A)/NG,
"95,00 – 100,00","FIX MOBIL
RADIOASTRONOMIE
RADIOLOCAŢIE RADIONAVIGAŢIE
RADIONAVIGAŢIE PRIN
SATELIT
5.149 5.554","FIX MOBIL
RADIOASTRONOMIE RADIOLOCAŢIE RADIONAVIGAŢIE
RADIONAVIGAŢIE PRIN SATELIT
5.149 5.554",,"Linii fixe
Radioastronomie (observații în domeniul continuu și de linii spectrale)",,,ECC/REC/(18)02,,G(A)/NG,
"100,00 – 102,00","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv) RADIOASTRONOMIE
CERCETARE SPAŢIALĂ (pasiv)
5.340 5.341","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv) RADIOASTRONOMIE
CERCETARE SPAŢIALĂ (pasiv)
5.340 5.341",,"Senzori pasivi (la bordul sateliţilor) (sondare la limita atmosferei pentru determinarea constituenţilor acesteia)
Radioastronomie (observații în domeniul continuu și de linii spectrale)",,,,,NG,
"102,00 – 105,00","FIX MOBIL
RADIOASTRONOMIE
5.149 5.341","FIX MOBIL
RADIOASTRONOMIE
5.149 5.341",,"Linii fixe
Radioastronomie (observații în domeniul continuu și de linii spectrale)",,,ECC/REC/(18)02,,NG,
"105,00 – 109,50","FIX MOBIL
RADIOASTRONOMIE
CERCETARE SPAŢIALĂ (pasiv) 5.562B
5.149 5.341","FIX MOBIL
RADIOASTRONOMIE
CERCETARE SPAŢIALĂ (pasiv) 5.562B
5.149 5.341",,"Linii fixe
Radioastronomie (observații în domeniul continuu și de linii spectrale)",,,ECC/REC/(18)02,,NG,
,,,,,,,,,,
,,,,,,,,,,
"109,50 – 111,80","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)
RADIOASTRONOMIE","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)
RADIOASTRONOMIE",,Radioastronomie (observații în domeniul continuu și de linii spectrale),,,,,NG,
,CERCETARE SPAŢIALĂ (pasiv),CERCETARE SPAŢIALĂ (pasiv),,,,,,,,
,5.340 5.341,5.340 5.341,,,,,,,,
"111,80 – 114,25",FIX,FIX,,"Linii fixe
Radioastronomie (observații în domeniul continuu și de linii spectrale)",,,ECC/REC/(18)02,,NG,
,MOBIL,MOBIL,,,,,,,,
,RADIOASTRONOMIE,RADIOASTRONOMIE,,,,,,,,
,"CERCETARE SPAŢIALĂ (pasiv)
5.562B","CERCETARE SPAŢIALĂ (pasiv)
5.562B",,,,,,,,
,5.149 5.341,5.149 5.341,,,,,,,,
"114,25 – 116,00","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)
RADIOASTRONOMIE","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)
RADIOASTRONOMIE",,Radioastronomie (observații în domeniul continuu și de linii spectrale),,,,,NG,
,CERCETARE SPAŢIALĂ (pasiv),CERCETARE SPAŢIALĂ (pasiv),,,,,,,,
,5.340 5.341,5.340 5.341,,,,,,,,
"116,00 – 119,98","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)",,"Senzori pasivi (la bordul sateliţilor) (detecţie pasivă ca parte a benzii de absorbţie a oxigenului cu maxim la 118,75 GHz)",,,,,NG,
,INTERSATELIŢI 5.562C,INTERSATELIŢI 5.562C,,,,,,,,
,CERCETARE SPAŢIALĂ (pasiv),,,,,,,,,
,,5.341,,,,,,,,
,5.341,,,,,,,,,
"119,98 – 120,02","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)",,"Senzori pasivi (la bordul sateliţilor) (detecţie pasivă ca parte a benzii de absorbţie a oxigenului cu maxim la 118,75 GHz)",,,,,NG,
,INTERSATELIŢI 5.562C,INTERSATELIŢI 5.562C,,,,,,,,
,CERCETARE SPAŢIALĂ (pasiv),,,,,,,,,
,,5.341,,,,,,,,
,5.341,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"120,02 – 122,25",EXPLORAREA PĂMÂNTULUI PRIN SATELIT (pasiv),"EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)",,SRD nespecifice (în banda 122–123 GHz),,,"ERC/REC 70–03
EN 305 550
Decizia 2011/829/UE (Nota 5)",,NG,
,INTERSATELIŢI 5.562C,INTERSATELIŢI 5.562C,,,,,,,,
,CERCETARE SPAŢIALĂ (pasiv),CERCETARE SPAŢIALĂ (pasiv),,,,,,,,
,5.138,5.138,,"Senzori pasivi (la bordul sateliţilor) (detecţie pasivă ca parte a benzii de absorbţie a oxigenului cu maxim la 118,75 GHz)",,,,,,
,,,,ISM (în banda 122-123 GHz),,,,,,
"122,25 – 123,00",FIX,FIX,,"Amator
Amator prin satelit
SRD nespecifice (în banda 122–123 GHz)
ISM (în banda 122-123 GHz)",,,"ERC/REC 70–03
EN 305 550
Decizia 2011/829/UE (Nota 5)",,NG,
,INTERSATELIŢI,INTERSATELIŢI,,,,,,,,
,MOBIL 5.558,MOBIL 5.558,,,,,,,,
,Amator,Amator,,,,,,,,
,,Amator prin satelit,,,,,,,,
,5.138,,,,,,,,,
,,5.138,,,,,,,,
"123,00 – 130,00","FIX PRIN SATELIT (spaţiu–
Pământ)
MOBIL PRIN SATELIT (spaţiu–
Pământ)","FIX PRIN SATELIT (spaţiu–
Pământ)
MOBIL PRIN SATELIT (spaţiu–
Pământ)",,Radioastronomie (observații în domeniul continuu și de linii spectrale),,,,,G(A)/NG,
,RADIONAVIGAŢIE,RADIONAVIGAŢIE,,,,,,,,
,RADIONAVIGAŢIE PRIN SATELIT,"RADIONAVIGAŢIE PRIN
SATELIT",,,,,,,,
,Radioastronomie,Radioastronomie,,,,,,,,
,5.149 5.554,5.149 5.554,,,,,,,,
"130,00 – 134,00","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (activ) 5.562E","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (activ) 5.562E",,"Linii fixe
Radioastronomie (observații în domeniul continuu și de linii spectrale)",,,ECC/REC/(18)01,,NG,
,FIX,FIX,,,,,,,,
,INTERSATELIŢI,INTERSATELIŢI,,,,,,,,
,MOBIL 5.558,MOBIL 5.558,,,,,,,,
,RADIOASTRONOMIE,RADIOASTRONOMIE,,,,,,,,
,5.149 5.562A,5.149 5.562A,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"134,00 – 136,00","AMATOR
AMATOR PRIN SATELIT
Radioastronomie","AMATOR
AMATOR PRIN SATELIT
Radioastronomie",,"Amator (în banda 134-141 GHz)
Amator prin satelit (în banda 134-141 GHz)
Radioastronomie (observații în domeniul continuu și de linii spectrale)",,,,,NG,
"136,00 – 141,00",RADIOASTRONOMIE,RADIOASTRONOMIE,,"Amator (în banda 134-141 GHz)
Amator prin satelit (în banda 134-141 GHz)
Radioastronomie (observații în domeniul continuu și de linii spectrale)",,,,,NG,
,RADIOLOCAŢIE,RADIOLOCAŢIE,,,,,,,,
,Amator,Amator,,,,,,,,
,Amator prin satelit,Amator prin satelit,,,,,,,,
,5.149,5.149,,,,,,,,
"141,00 – 148,50",FIX,FIX,,"Linii fixe
Radioastronomie (observații în domeniul continuu și de linii spectrale)",,,ECC/REC/(18)01,,NG,
,MOBIL,MOBIL,,,,,,,,
,RADIOASTRONOMIE,RADIOASTRONOMIE,,,,,,,,
,RADIOLOCAŢIE,RADIOLOCAŢIE,,,,,,,,
,5.149,5.149,,,,,,,,
"148,50 – 151,50","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)
RADIOASTRONOMIE","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)
RADIOASTRONOMIE",,Senzori pasivi (la bordul satelitţilor) (fereastră de referinţă armonizată pentru observaţii cu senzori pasivi),,,,,NG,
,"CERCETARE SPAŢIALĂ (pasiv)
5.340","CERCETARE SPAŢIALĂ (pasiv)
5.340",,Radioastronomie (observații în domeniul continuu și de linii spectrale),,,,,,
"151,50 – 155,50",FIX,FIX,,"Linii fixe
Radioastronomie (observații în domeniul continuu și de linii spectrale)",,,ECC/REC/(18)01,,NG,
,MOBIL,MOBIL,,,,,,,,
,RADIOASTRONOMIE,RADIOASTRONOMIE,,,,,,,,
,RADIOLOCAŢIE,RADIOLOCAŢIE,,,,,,,,
,5.149,5.149,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"155,50 – 158,50","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)",,"Linii fixe
Senzori pasivi (la bordul sateliţilor)
Radioastronomie (observații în domeniul continuu și de linii spectrale)",,,ECC/REC/(18)01,,NG,
,FIX,FIX,,,,,,,,
,MOBIL,MOBIL,,,,,,,,
,RADIOASTRONOMIE,RADIOASTRONOMIE,,,,,,,,
,"CERCETARE SPAŢIALĂ (pasiv)
5.562B","CERCETARE SPAŢIALĂ (pasiv)
5.562B",,,,,,,,
,5.149  5.562F  5.562G,5.149  5.562F  5.562G,,,,,,,,
"158,50 – 164,00",FIX,FIX,,Linii fixe,,,ECC/REC/(18)01,,NG,
,"FIX PRIN SATELIT (spaţiu–
Pământ)","FIX PRIN SATELIT (spaţiu–
Pământ)",,,,,,,,
,MOBIL,MOBIL,,,,,,,,
,"MOBIL PRIN SATELIT (spaţiu–
Pământ)","MOBIL PRIN SATELIT (spaţiu–
Pământ)",,,,,,,,
"164,00 – 167,00","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv) RADIOASTRONOMIE
CERCETARE SPAŢIALĂ (pasiv)","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv) RADIOASTRONOMIE
CERCETARE SPAŢIALĂ (pasiv)",,"Senzori pasivi (la bordul sateliţilor) (detecţie pasivă a liniei de absorbţie pentru vaporii de apă, al cărei maxim este la 183,31 GHz; sondare la limita
atmosferei pentru linia de CO la 164,38 GHz)",,,,,NG,
,5.340,5.340,,Radioastronomie (observații în domeniul continuu și de linii spectrale),,,,,,
"167,00 – 174,50",FIX,FIX,,"Linii fixe
Radioastronomie (în banda 168- 174,5 GHz) (observații în domeniul continuu şi de linii spectrale)",,,ECC/REC/(18)01,,NG,
,"FIX PRIN SATELIT (spaţiu–
Pământ)","FIX PRIN SATELIT (spaţiu–
Pământ)",,,,,,,,
,INTERSATELIŢI,INTERSATELIŢI,,,,,,,,
,MOBIL 5.558,MOBIL 5.558,,,,,,,,
,5.149,5.149,,,,,,,,
"174,50 – 174,80","FIX
INTERSATELIŢI MOBIL 5.558","FIX
INTERSATELIŢI
MOBIL 5.558",,Linii fixe,,,ECC/REC/(18)01,,NG,
"174,80 – 182,00","EXPLORAREA PĂMÂNTULUI PRIN SATELIT (pasiv)
INTERSATELIŢI 5.562H CERCETARE SPAŢIALĂ (pasiv)","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)
INTERSATELIŢI  5.562H
CERCETARE SPAŢIALĂ (pasiv)",,"Senzori pasivi (la bordul sateliţilor) (detecţie pasivă a liniei de absorbţie pentru vaporii de apă, al cărei maxim este la 183,31 GHz",,,,,NG,
,,,,,,,,,,
,,,,,,,,,,
"182,00 – 185,00","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv) RADIOASTRONOMIE CERCETARE SPAŢIALĂ (pasiv)
5.340","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv) RADIOASTRONOMIE
CERCETARE SPAŢIALĂ (pasiv)
5.340",,"Senzori pasivi (la bordul sateliţilor) (detecţie pasivă a liniei de absorbţie pentru vaporii de apă, al cărei maxim este la 183,31 GHz
Radioastronomie (observații în domeniul continuu și de linii spectrale)",,,,,NG,
"185,00 – 190,00","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv) INTERSATELIŢI 5.562H
CERCETARE SPAŢIALĂ (pasiv)","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)
INTERSATELIŢI 5.562H CERCETARE SPAŢIALĂ (pasiv)",,"Senzori pasivi (la bordul sateliţilor) (detecţie pasivă a liniei de absorbţie pentru vaporii de apă, al cărei maxim este la 183,31 GHz",,,,,NG,
"190,00 – 191,80","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)
CERCETARE SPAŢIALĂ (pasiv)
5.340","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)
CERCETARE SPAŢIALĂ (pasiv)
5.340",,"Senzori pasivi (la bordul sateliţilor) (detecţie pasivă a liniei de absorbţie pentru vaporii de apă, al cărei maxim este la 183,31 GHz
Radioastronomie (observații în domeniul continuu și de linii spectrale)",,,,,NG,
"191,80 – 200,00","FIX
INTERSATELIŢI
MOBIL 5.558
MOBIL PRIN SATELIT RADIONAVIGAŢIE RADIONAVIGAŢIE PRIN
SATELIT
5.149 5.341 5.554","FIX INTERSATELIŢI MOBIL 5.558
MOBIL PRIN SATELIT
RADIONAVIGAŢIE
RADIONAVIGAŢIE PRIN
SATELIT
5.149 5.341 5.554",,Radioastronomie (observații în domeniul continuu și de linii spectrale),,,,,G(A)/NG,
"200,00 – 202,00","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv) RADIOASTRONOMIE CERCETARE SPAŢIALĂ (pasiv)
5.340 5.341 5.563A","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv) RADIOASTRONOMIE
CERCETARE SPAŢIALĂ (pasiv)
5.340 5.341 5.563A",,"Aplicaţii în serviciul de explorare a Pământului prin satelit (sondare la limita atmosferei şi detecţia de la distanţă a prezenţei în atmosferă a oxidului de nitriu la 201 GHz)
Radioastronomie (observații în domeniul continuu și de linii spectrale)",,,,,NG,
