"Banda de frecvenţe
(GHz)","Atribuiri Regiunea 1 UIT şi
note subsol aplicabile CEPT",Atribuiri în România,Column1,Utilizări în România,Column2,Column3,Column4,Column5,Statut utilizare,Column6
"13,65 – 13,75","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (activ)
RADIOLOCAŢIE","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (activ)
RADIOLOCAŢIE",,"Senzori activi (la bordul sateliţilor) (altimetre, difractometre, radare pentru măsurarea precipitaţiilor)",,,,,G(A)/NG,
,"CERCETARE SPAŢIALĂ
5.501A","CERCETARE SPAŢIALĂ
5.501A",,Sateliţi pentru retransmiterea datelor,,,,,,
,"Frecvenţe etalon şi semnale orare prin satelit (Pământ– spaţiu)
5.499 5.500  5.501  5.501B","5.501B
ECA26  ECA36",,"Mijloace auxiliare de navigaţie
Doppler (pe aeronave)
Radare maritime (pentru ancorarea navelor)",,,,,,
,,,,"Radiodeterminare (în banda 13,4–14 GHz)",,,"ERC/REC 70–03
EN 300 440",,,
,,,,Radiolocație (militară),,,,,,
,,,,,,,,,,
,,,,,,,,,,
"13,75 – 14,00","FIX PRIN SATELIT (Pământ–
spaţiu) 5.484A
RADIOLOCAŢIE
Explorarea Pământului prin
satelit
Cercetare spaţială
Frecvenţe etalon şi semnale orare prin satelit (Pământ– spaţiu)
5.499  5.500  5.501  5.502  5.503","FIX PRIN SATELIT (Pământ–
spaţiu) 5.484A
RADIOLOCAŢIE
Cercetare spaţială
5.501 5.502 5.503
ECA26  ECA36",,"Stații de sol în serviciul fix prin satelit Sateliţi pentru retransmiterea datelor
Senzori pasivi (la bordul sateliţilor) (viitoare măsurători de interferometrie VLBI)
Radare maritime (pentru navigație și
pentru ancorarea navelor)
Radiodeterminare
(în banda 13,4–14 GHz)
Radiolocație (militară)",,,"EN 301 430
ERC/REC 70–03
EN 300 440",,G(A)/NG,
"14,00 – 14,25",FIX PRIN SATELIT (Pământ– spaţiu) 5.457A 5.457B 5.484A 5.484B 5.506  5.506B,FIX PRIN SATELIT (Pământ– spaţiu) 5.457A 5.457B 5.484A 5.484B 5.506  5.506B,,Staţii de sol pe aeronave (AES),,,"ECC/DEC/(05)11 EN 302 186
ECC/DEC/(05)10 EN 302 340
ECC/DEC/(18)04 ECC/DEC/(18)05 EN 302 448
EN 302 977
EN 303 980
ECC/DEC/(06)03 EN 301 428
ECC/DEC/(06)02 EN 301 428
EN 301 427
EN 302 977
ERC/REC 13–03
EN 301 428
EN 301 430
ECC/DEC/(17)04 EN 303 980",,NG,
,"RADIONAVIGAŢIE  5.504
Mobil prin satelit (Pământ– spaţiu) 5.504B 5.504C 5.506A
Cercetare spaţială","Mobil prin satelit (Pământ– spaţiu) 5.504B 5.504C 5.506A
Cercetare spaţială",,"Staţii de sol pe nave (ESV)
Stații de sol în mişcare (ESIM)",,,,,,
,,5.504,,,,,,,,
,5.504A  5.505,,,,,,,,,
,,,,Terminale de satelit de putere (pire) mare (HEST),,,,,,
,,,,"Terminale de satelit de putere (pire)
mică (LEST)",,,,,,
,,,,Stații de sol în serviciul mobil prin satelit (prioritate pentru rețele civile),,,,,,
