"Banda de frecvenţe
(kHz)","Atribuiri Regiunea 1 UIT şi
note subsol aplicabile CEPT",Atribuiri în România,Utilizări în România,Column1,Column2,Column3,Column4,Column5,Column6,Statut utilizare,Column7
"405,00 – 415,00",RADIONAVIGAŢIE  5.76,RADIONAVIGAŢIE  5.76,Radiofaruri aeronautice (Plan de asignări de frecvenţe - Geneva 1985),,,,,,,G(A)/NG,
,,ECA36,Radiofaruri maritime (Plan de asignări de frecvenţe - Geneva 1985),,,,,,,,
,,,"Aplicaţii inductive (în banda 148,5 kHz–30 MHz ; RFID doar în banda 400–600 kHz)",,,"ERC REC 70–03
EN 300 330
EN 302 536
Decizia 2008/432/CE (Nota 2)",,,,,
,,,Sisteme militare aeronautice,,,,,,,,
,,,Sisteme militare maritime,,,,,,,,
"415,00 – 435,00",RADIONAVIGAŢIE AERONAUTICĂ,RADIONAVIGAŢIE AERONAUTICĂ,Radiofaruri aeronautice (Plan de asignări de frecvenţe - Geneva 1985),,,,,,,G(A)/NG,
,MOBIL MARITIM  5.79,"MOBIL MARITIM  5.79
ECA36",Radiocomunicaţii maritime (Plan de asignări de frecvenţe - Geneva 1985),,,EN 300 338,,,,,
,,,"Aplicaţii inductive (în banda 148,5 kHz–30 MHz; RFID doar în banda 400–600 kHz)",,,"ERC REC 70–03
EN 300 330
EN 302 536
Decizia 2008/432/CE (Nota 2)",,,,,
,,,Sisteme militare aeronautice,,,,,,,,
,,,Sisteme militare maritime,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"435,00 – 472,00","MOBIL MARITIM  5.79
Radionavigaţie aeronautică
5.77  5.82","MOBIL MARITIM  5.79
Radionavigaţie aeronautică
5.82","SRD nespecifice
(442,2-450 kHz pentru detecţia persoanelor şi evitarea coliziunilor; 456,9-457,1 kHz pentru detecţia urgenţelor)",,,"ERC REC 70–03
EN 300 330
EN 300 718
Decizia 2013/752/UE (Nota 6)",,,,G(A)/NG,
,,ECA36,Radiocomunicaţii maritime (Plan de asignări de frecvenţe - Geneva 1985),,,EN 300 338,,,,,
,,,"Aplicaţii inductive (în banda 148,5 kHz–30 MHz ; RFID doar în banda 400–600 kHz)",,,"ERC REC 70–03
EN 300 330
EN 302 536
Decizia 2008/432/CE (Nota 2)",,,,,
,,,Sisteme militare aeronautice,,,,,,,,
,,,Sisteme militare maritime,,,,,,,,
"472,00 – 479,00",MOBIL MARITIM  5.79,MOBIL MARITIM  5.79 5.79A,Amator,,,EN 301 783,,,,G(A)/NG,
,"Radionavigaţie aeronautică
5.77 5.80
Amator 5.80A","Radionavigaţie aeronautică
Amator 5.80A",Radiocomunicaţii maritime (Plan de asignări de frecvenţe - Geneva 1985),,,EN 300 338,,,,,
,5.80B  5.82,"5.80B ECA36
5.82","Aplicaţii inductive (în banda 148,5 kHz–30 MHz ; RFID doar în banda 400–600 kHz)",,,"ERC REC 70–03
EN 300 330
EN 302 536
Decizia 2008/432/CE (Nota 2)",,,,,
,,,Sisteme militare aeronautice,,,,,,,,
,,,Sisteme militare maritime,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"479,00 – 495,00","MOBIL MARITIM  5.79 5.79A
Radionavigaţie aeronautică
5.77
5.82","MOBIL MARITIM  5.79 5.79A
Radionavigaţie aeronautică
5.77
5.82","Radiocomunicaţii maritime (Plan de asignări de frecvenţe - Geneva 1985)
Transmisii NAVTEX în limba
naţională (490 kHz)",,,"EN 300 338
EN 300 065",,,,G(A)/NG,
,,,"Aplicaţii inductive (în banda 148,5 kHz–30 MHz ; RFID doar în banda 400–600 kHz)",,,"ERC REC 70–03
EN 300 330
EN 302 536
Decizia 2008/432/CE (Nota 2)",,,,,
,,,Sisteme militare aeronautice,,,,,,,,
,,,Sisteme militare maritime,,,,,,,,
"495,00 – 505,00",MOBIL  MARITIM,MOBIL ECA39,"Aplicaţii inductive (în banda 148,5 kHz–30 MHz; RFID doar în banda 400–600 kHz)",,,"ERC REC 70–03
EN 300 330
EN 302 536
Decizia 2008/432/CE (Nota 2)",,,,G(A)/NG,
,,,Sisteme militare maritime,,,,,,,,
"505,00 – 526,50",MOBIL MARITIM  5.79  5.79A 5.84,MOBIL MARITIM  5.79  5.79A 5.84,Radiofaruri aeronautice (Plan de asignări de frecvenţe - Geneva 1985),,,,,,,G(A)/NG,
,RADIONAVIGAŢIE AERONAUTICĂ,RADIONAVIGAŢIE AERONAUTICĂ,Radiocomunicaţii maritime (Plan de asignări de frecvenţe - Geneva 1985),,,EN 300 338,,,,,
,,ECA36,"Transmisii NAVTEX în limbi de
circulaţie internaţională (518 kHz)",,,EN 300 065,,,,,
,,,"Aplicaţii inductive (în banda 148,5 kHz–30 MHz; RFID doar în banda 400–600 kHz)",,,"ERC REC 70–03
EN 300 330
EN 302 536
Decizia 2008/432/CE (Nota 2)",,,,,
,,,Sisteme militare aeronautice,,,,,,,,
,,,Sisteme militare maritim,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"526,50 – 1606,50","RADIODIFUZIUNE
5.87  5.87A",RADIODIFUZIUNE,Radiodifuziune sonoră (Plan de asignări de frecvenţe - Geneva 1975. Vor fi introduse sisteme digitale.),,,"EN 302 017
EN 302 245",,,,NG,
