,freqs,usess,value
256,"47,20 – 47,50","FIX
FIX PRIN SATELIT (Pământ–
spaţiu) 5.552",1
257,"47,20 – 47,50","MOBIL
5.552A",1
258,"47,20 – 47,50",ECA17A,1
259,"47,50 – 47,90","FIX
FIX PRIN SATELIT (Pământ–
spaţiu) 5.552 (spaţiu–Pământ) 5.516B  5.554A
MOBIL",1
260,"47,50 – 47,90",ECA17A,1
261,"47,90 – 48,20","FIX
FIX PRIN SATELIT (Pământ–
spaţiu) 5.552",1
262,"47,90 – 48,20","MOBIL
5.552A",1
263,"47,90 – 48,20",ECA17A,1
264,"48,20 – 48,54","FIX
FIX PRIN SATELIT (Pământ–
spaţiu) 5.552 (spaţiu–Pământ) 5.516B 5.554A 5.555B
MOBIL",1
265,"48,20 – 48,54",ECA17A,1
266,"48,54 – 49,44",FIX,1
267,"48,54 – 49,44","FIX PRIN SATELIT (Pământ–
spaţiu) 5.552",1
268,"48,54 – 49,44",MOBIL,1
269,"48,54 – 49,44",RADIOASTRONOMIE,1
270,"48,54 – 49,44",5.149 5.340 5.555,1
271,"48,54 – 49,44",ECA17A,1
272,"49,44 – 50,20","FIX
FIX PRIN SATELIT (Pământ–
spaţiu) 5.338A  5.552 (spaţiu– Pământ) 5.516B 5.554A 5.555B
MOBIL",1
273,"49,44 – 50,20",ECA17A,1
274,"50,20 – 50,40","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)
CERCETARE SPAŢIALĂ (pasiv)
5.340",1
275,"50,40 – 51,40","FIX
FIX PRIN SATELIT (Pământ–
spaţiu) 5.338A
Mobil prin satelit (Pământ– spaţiu)",1
276,"51,40 – 52,60","FIX  5.338A MOBIL
RADIOASTRONOMIE
5.547  5.556",1
277,"52,60 – 54,25","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)
CERCETARE SPAŢIALĂ (pasiv)
5.340  5.556",1
278,"54,25 – 55,78","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)
CERCETARE SPAŢIALĂ (pasiv)",1
279,"55,78 – 56,90",EXPLORAREA PĂMÂNTULUI PRIN SATELIT (pasiv),1
280,"55,78 – 56,90",FIX 5.557A,1
281,"55,78 – 56,90",INTERSATELIŢI 5.556A,1
282,"55,78 – 56,90",CERCETARE SPAŢIALĂ (pasiv),1
283,"55,78 – 56,90",5.547 5.558,1
284,"56,90 – 57,00","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)",1
285,"56,90 – 57,00",FIX,1
286,"56,90 – 57,00",INTERSATELIŢI 5.558A,1
287,"56,90 – 57,00",MOBIL 5.558,1
288,"56,90 – 57,00",CERCETARE SPAŢIALĂ (pasiv),1
289,"56,90 – 57,00",5.547,1
290,"57,00 – 58,20","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)",1
291,"57,00 – 58,20","FIX
INTERSATELIŢI 5.556A MOBIL 5.558",1
292,"57,00 – 58,20","CERCETARE SPAŢIALĂ (pasiv)
5.547",1
293,"58,20 – 59,00","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)",1
294,"58,20 – 59,00","FIX
RADIOASTRONOMIE CERCETARE SPAŢIALĂ (pasiv)",1
295,"58,20 – 59,00","5.547 5.556
ECA16 ECA19",1
296,"59,00 – 59,30","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)",1
297,"59,00 – 59,30","FIX
INTERSATELIŢI 5.556A MOBIL 5.558",1
298,"59,00 – 59,30","RADIOLOCAŢIE 5.559
CERCETARE SPAŢIALĂ (pasiv)
ECA17  ECA 20 ECA36",1
299,"59,30 – 64,00","FIX
INTERSATELIŢI",1
300,"59,30 – 64,00","MOBIL 5.558
RADIOLOCAŢIE 5.559",1
301,"59,30 – 64,00","5.138
ECA17  ECA 20 ECA36",1
302,"64,00 – 65,00","FIX
INTERSATELIŢI",1
303,"64,00 – 65,00","MOBIL cu excepţia mobil
aeronautic 5.547 5.556",1
304,"65,00 – 66,00","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT",1
305,"65,00 – 66,00",FIX,1
306,"65,00 – 66,00",INTERSATELIŢI,1
307,"65,00 – 66,00",MOBIL cu excepţia mobil aeronautic,1
308,"65,00 – 66,00",CERCETARE SPAŢIALĂ,1
309,"65,00 – 66,00",5.547,1
310,"66,00 – 71,00",INTERSATELIŢI,1
311,"66,00 – 71,00",MOBIL 5.553 5.558,1
312,"66,00 – 71,00",MOBIL PRIN SATELIT,1
313,"66,00 – 71,00",RADIONAVIGAŢIE,1
314,"66,00 – 71,00","RADIONAVIGAŢIE PRIN
SATELIT",1
315,"66,00 – 71,00",5.554,1
316,"71,00 – 73,00","FIX
FIX PRIN SATELIT (spaţiu–
Pământ)",1
317,"71,00 – 73,00",MOBIL,1
318,"71,00 – 73,00","MOBIL PRIN SATELIT (spaţiu–
Pământ)",1
319,"73,00 – 74,00","FIX
FIX PRIN SATELIT (spaţiu–
Pământ)",1
320,"73,00 – 74,00",MOBIL,1
321,"73,00 – 74,00","MOBIL PRIN SATELIT (spaţiu–
Pământ)",1
322,"74,00 – 75,50",RADIODIFUZIUNE,1
323,"74,00 – 75,50",RADIODIFUZIUNE PRIN SATELIT,1
324,"74,00 – 75,50",FIX,1
325,"74,00 – 75,50","FIX PRIN SATELIT (spaţiu–
Pământ)",1
326,"74,00 – 75,50",MOBIL,1
327,"74,00 – 75,50",Cercetare spaţială (spaţiu– Pământ),1
328,"74,00 – 75,50",5.561,1
329,"75,50 – 76,00",RADIODIFUZIUNE,1
330,"75,50 – 76,00",RADIODIFUZIUNE PRIN SATELIT,1
331,"75,50 – 76,00",FIX,1
332,"75,50 – 76,00","FIX PRIN SATELIT (spaţiu–
Pământ)",1
333,"75,50 – 76,00",Amator,1
334,"75,50 – 76,00","Amator prin satelit
Cercetare spaţială (spaţiu– Pământ)",1
335,"75,50 – 76,00",5.561,1
336,"75,50 – 76,00",ECA35,1
337,"76,00 – 77,50",RADIOASTRONOMIE,1
338,"76,00 – 77,50","RADIOLOCAŢIE
Amator
Amator prin satelit",1
339,"76,00 – 77,50","Cercetare spaţială (spaţiu– Pământ)
5.149",1
340,"77,50 – 78,00","AMATOR
AMATOR PRIN SATELIT
Radioastronomie
Cercetare spaţială (spaţiu– Pământ)
5.149",1
341,"78,00 – 79,00","RADIOLOCAŢIE
Amator
Amator prin satelit Radioastronomie
Cercetare spaţială (spaţiu– Pământ)
5.149 5.560",1
342,"79,00 – 81,00","RADIOASTRONOMIE
RADIOLOCAŢIE
Amator
Amator prin satelit 5.149",1
343,"81,00 – 83,00",FIX 5.338A,1
344,"81,00 – 83,00","FIX PRIN SATELIT (Pământ–
spaţiu)
MOBIL",1
345,"81,00 – 83,00","MOBIL PRIN SATELIT (Pământ–
spaţiu)",1
346,"81,00 – 83,00","RADIOASTRONOMIE
Cercetare spaţială (spaţiu– Pământ)",1
347,"81,00 – 83,00",5.149 5.561A,1
348,"83,00 – 84,00",FIX 5.338A,1
349,"83,00 – 84,00","FIX PRIN SATELIT (Pământ–
spaţiu)
MOBIL",1
