,freqs,usess,value
109,"18,80 – 18,9025",FIX,1
110,"18,80 – 18,9025","FIX PRIN SATELIT (spaţiu–
Pământ) 5.523A",1
111,"18,9025 – 19,2875",FIX,1
112,"18,9025 – 19,2875","FIX PRIN SATELIT (spaţiu–
Pământ) 5.523A",1
113,"19,2875 – 19,30",FIX,1
114,"19,2875 – 19,30","FIX PRIN SATELIT (spaţiu–
Pământ) 5.523A",1
115,"19,30 – 19,70","FIX
FIX PRIN SATELIT (spaţiu–
Pământ)(Pământ–spaţiu) 5.523B 5.523C 5.523D 5.523E",1
116,"19,70 – 20,10","FIX PRIN SATELIT (spaţiu–
Pământ) 5.484A  5.484B  5.516B 5.527A",1
117,"19,70 – 20,10",Mobil prin satelit (spaţiu– Pământ),1
118,"20,10 – 20,20","FIX PRIN SATELIT (spaţiu–
Pământ) 5.484A  5.484B  5.516B 5.527A",1
119,"20,10 – 20,20","MOBIL PRIN SATELIT (spaţiu–
Pământ)
5.525  5.526  5.527  5.528",1
120,"20,20 – 21,20","FIX PRIN SATELIT (spaţiu–
Pământ)
MOBIL PRIN SATELIT (spaţiu–
Pământ)
ECA36",1
121,"21,20 – 21,40","FIX
MOBIL",1
122,"21,20 – 21,40",ECA17A,1
123,"21,40 – 22,00",RADIODIFUZIUNE PRIN SATELIT 5.208B,1
124,"21,40 – 22,00",FIX MOBIL,1
