"Banda de frecvenţe
(MHz)","Atribuiri Regiunea 1 UIT şi
note subsol aplicabile CEPT",Atribuiri în România,Column1,Column2,Utilizări în România,Column3,Column4,Column5,Column6,Statut utilizare,Column7
,"MOBIL cu excepţia mobil
aeronautic  5.446A  5.447F
RADIOLOCAŢIE","MOBIL cu excepţia mobil
aeronautic 5.446A 5.447F
RADIOLOCAŢIE",,"Fixare poziţie
Radare maritime (VTS şi pe nave)",,,,,,,
,"CERCETARE SPAŢIALĂ 5.447D
5.448 5.448A","CERCETARE SPAŢIALĂ 5.447D
RADIONAVIGAŢIE 5.448",,Radio LAN (WAS/RLAN în benzile (5150 – 5350 MHz şi 5470 – 5725 MHz),,,,,,,
,,5.448A,,,,,,,,,
,,ECA22  ECA36,,"Radare pentru meteorologie
(la sol şi pe aeronave)",,,,,,,
,,,,"Aplicaţii de radiodeterminare
(în banda 4500–7000 MHz pentru
aplicaţii TLPR)",,,,,,,
,,,,Radiolocație (militar),,,,,,,
,,,,"Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,,,,,
,,,,,,,,,,,
,,,,Aplicaţii posibile,,,Reglementări aplicabile/ Documente de referință,,,,
"5255,00 – 5350,00","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (activ)","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (activ)",,Senzori activi (satelit),,,"ECC/DEC/(04)08 ERC/REC 70–03
EN 301 893
Decizia 2005/513/CE modificată prin Decizia 2007/90/CE
ERC/REC 70–03
EN 302 372
Decizia 2009/381/CE (Nota 3)
ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,G(A)/NG,,
,"MOBIL cu excepţia mobil
aeronautic 5.446A 5.447F
RADIOLOCAŢIE","MOBIL cu excepţia mobil
aeronautic 5.446A 5.447F
RADIOLOCAŢIE",,"Fixare poziţie
Radare maritime (VTS şi pe nave)",,,,,,,
,"CERCETARE SPAŢIALĂ (activ)
5.448 5.448A",CERCETARE SPAŢIALĂ (activ) RADIONAVIGAŢIE 5.448,,Radio LAN (WAS/RLAN în benzile 5150 – 5350 MHz şi 5470 – 5725 MHz),,,,,,,
,,5.448A,,,,,,,,,
,,ECA22  ECA36,,,,,,,,,
,,,,Radare pentru meteorologie (la sol şi pe aeronave),,,,,,,
,,,,"Aplicaţii de radiodeterminare
(în banda 4500–7000 MHz pentru
aplicaţii TLPR)",,,,,,,
,,,,Radiolocație (militar),,,,,,,
,,,,"Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,,,,,
"5350,00 – 5460,00","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (activ)  5.448B","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (activ)  5.448B",,Senzori activi (satelit),,,,,G(A)/NG,,
,RADIOLOCAŢIE  5.448D,RADIOLOCAŢIE  5.448D,,Fixare poziţie,,,,,,,
,"RADIONAVIGAŢIE
AERONAUTICĂ  5.449","RADIONAVIGAŢIE
AERONAUTICĂ  5.449",,Radare maritime (VTS şi pe nave),,,,,,,
,"CERCETARE SPAŢIALĂ (activ)
5.448C","CERCETARE SPAŢIALĂ (activ)
5.448C",,"Radare pentru meteorologie
(la sol şi pe aeronave)",,,,,,,
,,ECA22  ECA36,,"Aplicaţii de radiodeterminare
(în banda 4500–7000 MHz pentru
aplicaţii TLPR)",,,"ERC/REC 70–03
EN 302 372
Decizia 2009/381/CE (Nota 3)",,,,
,,,,Radiolocație (militar),,,,,,,
,,,,"Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,"ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,,,
,,,,,,,,,,,
,,,,Aplicaţii posibile,,,Reglementări aplicabile/ Documente de referință,,,,
"5460,00 – 5470,00","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (activ)","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (activ)",,Senzori activi (satelit),,,,,G(A)/NG,,
,RADIOLOCAŢIE 5.448D,RADIOLOCAŢIE 5.448D,,Fixare poziţie,,,,,,,
,"RADIONAVIGAŢIE 5.449
CERCETARE SPAŢIALĂ (activ)","RADIONAVIGAŢIE 5.449
CERCETARE SPAŢIALĂ (activ)",,Radare maritime (VTS şi pe nave),,,,,,,
,5.448B,5.448B,,"Radare pentru meteorologie
(la sol şi pe aeronave)",,,,,,,
,,ECA22  ECA36,,"Aplicaţii de radiodeterminare
(în banda 4500–7000 MHz pentru
aplicaţii TLPR)",,,"ERC/REC 70–03
EN 302 372
Decizia 2009/381/CE (Nota 3)",,,,
,,,,Radiolocaţie (militar),,,,,,,
,,,,"Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,"ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,,,
"5470,00 – 5570,00","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (activ)","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (activ)",,Senzori activi (satelit),,,,,G(A)/NG,,
,"MOBIL cu excepţia mobil
aeronautic  5.446A  5.450A
RADIOLOCAŢIE  5.450B","MOBIL cu excepţia mobil
aeronautic  5.446A  5.450A
RADIOLOCAŢIE  5.450B",,"Fixare poziţie
Radare maritime (VTS şi pe nave)",,,,,,,
,"RADIONAVIGAŢIE MARITIMĂ CERCETARE SPAŢIALĂ (activ)
5.448B  5.450","RADIONAVIGAŢIE MARITIMĂ
RADIONAVIGAŢIE
AERONAUTICĂ  5.450
CERCETARE SPAŢIALĂ (activ)",,Radio LAN (WAS/RLAN în benzile 5150 – 5350 MHz şi 5470 – 5725 MHz),,,"ECC/DEC/(04) 08
ERC/REC 70–03
EN 301 893
Decizia 2005/513/CE modificată prin Decizia 2007/90/CE",,,,
,,"5.448B
ECA22  ECA36",,"Radare pentru meteorologie
(la sol şi pe aeronave)",,,,,,,
,,,,"Aplicaţii de radiodeterminare
(în banda 4500–7000 MHz pentru
aplicaţii TLPR)",,,"ERC/REC 70–03
EN 302 372
Decizia 2009/381/CE (Nota 3)",,,,
,,,,Radiolocație (militar),,,,,,,
,,,,"Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,"ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,,,
,,,,,,,,,,,
,,,,Aplicaţii posibile,,,Reglementări aplicabile/ Documente de referință,,,,
"5570,00 – 5650,00","MOBIL cu excepţia mobil
aeronautic  5.446A  5.450A",MOBIL cu excepţia mobil aeronautic  5.446A  5.450A,,Fixare poziţie,,,"ECC/DEC/(04) 08
ERC/REC 70–03
EN 301 893
Decizia 2005/513/CE modificată prin Decizia 2007/90/CE
ERC/REC 70–03
EN 302 372
Decizia 2009/381/CE (Nota 3)
ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,G(A)/NG,,
,RADIOLOCAŢIE  5.450B,RADIOLOCAŢIE  5.450B,,Radare mairitme (VTS şi pe nave),,,,,,,
,RADIONAVIGAŢIE MARITIMĂ,"RADIONAVIGAŢIE MARITIMA
RADIONAVIGAŢIE
AERONAUTICĂ  5.450",,Radio LAN (WAS/RLAN în benzile 5150 – 5350 MHz şi 5470 – 5725 MHz),,,,,,,
,5.450  5.452,,,,,,,,,,
,,5.452,,,,,,,,,
,,ECA22  ECA36,,"Radare pentru meteorologie
(la sol şi pe aeronave)",,,,,,,
,,,,"Aplicaţii de radiodeterminare
(în banda 4500–7000 MHz pentru
aplicaţii TLPR)",,,,,,,
,,,,Radiolocație (militar),,,,,,,
,,,,"Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,,,,,
,,,,,,,,,,,
,,,,Aplicaţii posibile,,,Reglementări aplicabile/ Documente de referință,,,,
"5650,00 – 5725,00","MOBIL cu excepţia mobil
aeronautic  5.446A  5.450A","MOBIL cu excepţia mobil
aeronautic  5.446A  5.450A",,"Amator
(în banda 5650–5850 MHz)",,,EN 301 783,,G(A)/NG,,
,"RADIOLOCAŢIE
Amator
Cercetare spaţială (spaţiu îndepărtat)","RADIOLOCAŢIE
Amator
Amator prin satelit (Pământ – spaţiu)  5.282  ECA23",,"Amator prin satelit
(în banda 5650–5670 MHz)
Fixare poziţie",,,,,,,
,5.282  5.455,5.455,,Radare maritime (VTS şi pe nave),,,,,,,
,,ECA22  ECA36,,Radio LAN (WAS/RLAN în benzile 5150 – 5350 MHz şi 5470 – 5725 MHz),,,"ECC/DEC/(04) 08
ERC/REC 70–03
EN 301 893
Decizia 2005/513/CE modificată prin Decizia 2007/90/CE",,,,
,,,,"Radare pentru meteorologie
(la sol şi pe aeronave)",,,,,,,
,,,,"Aplicaţii de radiodeterminare
(în banda 4500–7000 MHz pentru
aplicaţii TLPR)",,,"ERC/REC 70–03
EN 302 372
Decizia 2009/381/CE (Nota 3)",,,,
,,,,Radiolocație (militar),,,,,,,
,,,,"Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,"ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,,,
,,,,,,,,,,,
,,,,Aplicaţii posibile,,,Reglementări aplicabile/ Documente de referință,,,,
"5725,00 – 5830,00","FIX PRIN SATELIT (Pământ–
spaţiu)","FIX PRIN SATELIT (Pământ–
spaţiu)",,Amator (în banda 5650-5850 MHz),,,EN 301 783,,G(A)/NG,,
,"RADIOLOCAŢIE
Amator",RADIOLOCAŢIE FIX,,BFWA (în banda 5725 – 5875 MHz),,,ECC/REC/(06)04 EN 302 502,,,,
,,Amator  ECA17,,ISM (în banda 5725–5875 MHz),,,,,,,
,5.150  5.455,"Mobil
5.150  5.455
ECA22  ECA36",,SRD nespecifice (în banda 5725– 5875 MHz),,,"ERC/REC 70–03
EN 300 440
Decizia 2006/771/CE (Nota 1)",,,,
,,,,Mijloace de supraveghere a traficului şi a transporturilor rutiere TTT (în benzile 5795–5805 MHz şi 5805–5815 MHz),,,"ERC/REC 70–03
EN 300 674",,,,
,,,,Aplicaţii de taxare a utilizării infrastructurii rutiere TTT (în banda 5795-5805 MHz),,,"EN 300 674
Decizia 2013/752/UE (Nota 6)",,,,
,,,,Aplicaţii de taxare a utilizării infrastructurii rutiere TTT (în banda 5795-5815 MHz),,,"EN 300 674
Decizia 2017/1483/UE (Nota 14)",,,,
,,,,"Aplicaţii TTT de tip smart tahograf, sisteme automate de cântărire şi măsurare (în banda 5795-5815 MHz)",,,Decizia 2019/1345/UE (Nota 15),,,,
,,,,"Radare pentru meteorologie (la sol
şi pe aeronave)",,,,,,,
,,,,"Aplicaţii de radiodeterminare
(în banda 4500–7000 MHz pentru
aplicaţii TLPR)",,,"ERC/REC 70–03
EN 302 372
Decizia 2009/381/CE (Nota 3)",,,,
,,,,Aplicaţii wireless industriale (în banda 5725-5875 MHz),,,"ERC/REC 70-03
EN 303 258",,,,
,,,,Radiolocație (militar),,,,,,,
,,,,"Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,"ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,,,
,,,,,,,,,,,
,,,,Aplicaţii posibile,,,Reglementări aplicabile/ Documente de referință,,,,
"5830,00 – 5850,00","FIX PRIN SATELIT (Pământ–
spaţiu)","FIX PRIN SATELIT (Pământ–
spaţiu)",,Amator  (în banda 5650-5850 MHz),,,EN 301 783,,G(A)/NG,,
,"RADIOLOCAŢIE
Amator","RADIOLOCAŢIE
FIX",,Amator prin satelit (în banda 5830– 5850 MHz),,,,,,,
,Amator prin satelit (spaţiu– Pământ),"Amator
Amator prin satelit (spaţiu– Pământ)  ECA23",,"BFWA (în banda 5725 – 5875 MHz)
ISM (în banda 5725–5875 MHz)",,,"ECC/REC/(06) 04
EN 302 502",,,,
,5.150  5.455,"Mobil
5.150  5.455
ECA22  ECA36",,"SRD nespecifice (în banda 5725– 5875 MHz)
Radare pentru meteorologie (la sol
şi pe aeronave)",,,"ERC/REC 70–03
EN 300 440
Decizia 2006/771/CE (Nota 1)",,,,
,,,,"Aplicaţii de radiodeterminare
(în banda 4500–7000 MHz pentru
aplicaţii TLPR)",,,"ERC/REC 70–03
EN 302 372
Decizia 2009/381/CE (Nota 3)",,,,
,,,,Aplicaţii wireless industriale (în banda 5725-5875 MHz),,,"ERC/REC 70-03
EN 303 258",,,,
,,,,Radiolocație (militar),,,,,,,
,,,,"Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,"ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,,,
,,,,,,,,,,,
,,,,Aplicaţii posibile,,,Reglementări aplicabile/ Documente de referință,,,,
"5850,00 – 5925,00","FIX
FIX PRIN SATELIT (Pământ–
spaţiu)
MOBIL","FIX
FIX PRIN SATELIT (Pământ–
spaţiu)
MOBIL",,"BFWA (în banda 5725 – 5875 MHz)
DA2GC (în banda 5855-5875 MHz)",,,"ECC/REC/(06)04 EN 302 502
ECC/DEC/(15)03 EN 303 316
EN 303 339",,G(A)/NG,,
,5.150,5.150,,"Stații de sol în Serviciul Fix prin
Satelit
(prioritate pentru reţelele civile)",,,EN 301 443,,,,
,,,,ISM (în banda 5725–5875 MHz),,,,,,,
,,,,SRD nespecifice (în banda 5725– 5875 MHz),,,"ERC/REC 70–03
EN 300 440
Decizia 2006/771/CE (Nota 1)",,,,
,,,,Aplicaţii de radiodeterminare (în banda 4500–7000 MHz pentru aplicaţii TLPR),,,"ERC/REC 70–03
EN 302 372
Decizia 2009/381/CE (Nota 3)",,,,
,,,,ITS (în banda 5875–5925 MHz),,,ECC/DEC/(08)01 EN 302 571,,,,
,,,,"Aplicatii TTT (în benzile 5855–5865
MHz şi 5865-5875 MHz)",,,"ECC/REC/(08)01 EN 302 571
Decizia 2019/1345/UE (Nota 15)",,,,
,,,,"ITS (aplicaţii privind siguranţa, în
banda 5875–5905 MHz)",,,"ERC/REC 70-03 ECC/DEC/(08)01 EN 302 571
Decizia 2008/671/CE",,,,
,,,,"MBR (în banda 5852-5872 MHz și
5880-5900 MHz)",,,ECC/REC/(17)03 EN 303 276,,,,
,,,,Aplicaţii wireless industriale (în banda 5725-5875 MHz),,,"ERC/REC 70-03
EN 303 258",,,,
,,,,"Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,"ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,,,
,,,,,,,,,,,
,,,,Aplicaţii posibile,,,Reglementări aplicabile/ Documente de referință,,,,
"5925,00 – 6425,00",FIX,FIX,,Linii fixe,,,"UIT-R F.383 ECC/REC/(14)06 ERC/REC 14–01
ERC/REC 14-02
EN 302 217
ECC/DEC/(05) 09
EN 301 443
ECC/DEC/(05)09 EN 301 443
ERC/REC 70–03
EN 302 372
Decizia 2009/381/CE (Nota 3)
ECC/DEC/(11)02 ERC/REC 70–03
EN 302 729
Decizia 2013/752/UE (Nota 6)
ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,NG,,
,"FIX PRIN SATELIT (Pământ–
spaţiu)  5.457A","FIX PRIN SATELIT (Pământ–
spaţiu)  5.457A",,,,,,,,,
,MOBIL,MOBIL,,,,,,,,,
,,"Explorarea Pământului prin satelit
(pasiv)",,Stații de sol în Serviciul Fix prin Satelit (prioritate pentru rețelele civile),,,,,,,
,,,,ESV (în banda 5925-6425 MHz),,,,,,,
,,,,"Senzori pasivi (satelit) (măsurarea temperaturii la suprafaţa mărilor, a vitezei vântului la suprafaţa mărilor şi a umidităţii solului)",,,,,,,
,,,,"Aplicaţii de radiodeterminare
(în banda 4500–7000 MHz pentru
aplicaţii TLPR)",,,,,,,
,,,,"Aplicaţii de radiodeterminare
(în banda 6000-8500 MHz pentru
aplicații LPR)",,,,,,,
,,,,"Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,,,,,
,,,,,,,,,,,
,,,,Aplicaţii posibile,,,Reglementări aplicabile/ Documente de referință,,,,
"6425,00 – 6700,00",FIX,FIX,,Linii fixe,,,"UIT-R F.384 ECC/REC/(14)06 ERC/REC 14–01
ERC/REC 14-02
EN 302 217
ECC/DEC/(05) 09
EN 301 443
ECC/DEC/(05)09 EN 301 443
ERC/REC 70–03
EN 302 372
Decizia 2009/381/CE (Nota 3)
ECC/DEC/(11)02 ERC/REC 70–03
EN 302 729
Decizia 2013/752/UE (Nota 6)
ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,NG,,
,"FIX PRIN SATELIT (Pământ–
spaţiu)","FIX PRIN SATELIT (Pământ–
spaţiu)",,,,,,,,,
,MOBIL,Explorarea Pământului prin satelit (pasiv),,,,,,,,,
,5.149  5.440  5.458,5.149  5.440  5.458,,Stații de sol în Serviciul Fix prin Satelit (prioritate pentru rețelele civile),,,,,,,
,,,,ESV (în banda 5925-6425 MHz),,,,,,,
,,,,"Senzori pasivi (satelit) (măsurarea temperaturii la suprafaţa mărilor, a vitezei vântului la suprafaţa mărilor şi a umidităţii solului)",,,,,,,
,,,,"Aplicaţii de radiodeterminare
(în banda 4500–7000 MHz pentru
aplicaţii TLPR)",,,,,,,
,,,,"Aplicaţii de radiodeterminare
(în banda 6000-8500 MHz pentru
aplicații LPR)",,,,,,,
,,,,"Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,,,,,
,,,,,,,,,,,
,,,,Aplicaţii posibile,,,Reglementări aplicabile/ Documente de referință,,,,
"6700,00 – 7075,00",FIX,FIX,,Linii fixe,,,"UIT-R F.384 ECC/REC/(14)06 ERC/REC 14–02
EN 302 217
EN 301 443
ERC/REC 70–03
EN 302 372
Decizia 2009/381/CE (Nota 3)
ECC/DEC/(11)02 ERC/REC 70–03
EN 302 729
Decizia 2013/752/UE (Nota 6)
ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,NG,,
,"FIX PRIN SATELIT (Pământ–
spaţiu) (spaţiu–Pământ)  5.441","FIX PRIN SATELIT (Pământ–
spaţiu) (spaţiu–Pământ)  5.441",,,,,,,,,
,MOBIL,"Explorarea Pământului prin satelit
(pasiv)",,Linii de conexiune pentru sateliţi,,,,,,,
,5.458  5.458A  5.458B,5.458  5.458A  5.458B,,Stații de sol în Serviciul Fix prin Satelit (în banda 6725–7025 MHz; prioritate pentru rețelele civile),,,,,,,
,,,,"Senzori pasivi (satelit) (măsurarea temperaturii la suprafaţa mărilor, a vântului la suprafaţa mării şi a umidităţii solului)",,,,,,,
,,,,"Aplicaţii de radiodeterminare
(în banda 4500–7000 MHz pentru
aplicaţii TLPR)",,,,,,,
,,,,"Aplicaţii de radiodeterminare
(în banda 6000-8500 MHz pentru
aplicații LPR)",,,,,,,
,,,,"Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,,,,,
,,,,,,,,,,,
,,,,Aplicaţii posibile,,,Reglementări aplicabile/ Documente de referință,,,,
"7075,00 – 7125,00",FIX,FIX,,Linii fixe,,,"UIT-R F.384 ECC/REC/(02)06 ECC/REC/(14)06 ERC/REC 14–02
EN 302 217
ECC/DEC/(11)02 ERC/REC 70–03
EN 302 729
Decizia 2013/752/UE (Nota 6)
ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,NG,,
,MOBIL,"Explorarea Pământului prin satelit
(pasiv)",,,,,,,,,
,5.458,,,,,,,,,,
,,5.458,,,,,,,,,
,,,,"Senzori pasivi (satelit) (măsurarea temperaturii la suprafaţa mărilor, a vântului la suprafaţa mării şi a umidităţii solului)",,,,,,,
,,,,"Aplicaţii de radiodeterminare
(în banda 6000-8500 MHz pentru
aplicații LPR)",,,,,,,
,,,,"Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,,,,,
"7125,00 – 7145,00",FIX,FIX,,Linii fixe,,,"UIT-R F.385 ECC/REC/(02)06 ECC/REC/(14)06 ECC/REC/(02)06 EN 302 217
ECC/DEC/(11)02 ERC/REC 70–03
EN 302 729
Decizia 2013/752/UE (Nota 6)
ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,G(A)/NG,,
,MOBIL,"Explorarea Pământului prin satelit
(pasiv)",,,,,,,,,
,5.458,,,,,,,,,,
,,5.458,,,,,,,,,
,,,,"Senzori pasivi (satelit) (măsurarea temperaturii la suprafaţa mărilor, a vântului la suprafaţa mării şi a umidităţii solului)",,,,,,,
,,,,"Aplicaţii de radiodeterminare
(în banda 6000-8500 MHz pentru
aplicații LPR)",,,,,,,
,,,,"Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,,,,,
,,,,,,,,,,,
,,,,Aplicaţii posibile,,,Reglementări aplicabile/ Documente de referință,,,,
"7145,00 – 7190,00","FIX MOBIL
CERCETARE SPAŢIALĂ (spațiu
îndepărtat) (Pământ – spaţiu)
5.458","FIX
CERCETARE SPAŢIALĂ (spațiu
îndepărtat) (Pământ – spaţiu)
Exploatare spaţială (Pământ– spaţiu)
5.458",,"Linii fixe
Aplicaţii de radiodeterminare
(în banda 6000-8500 MHz pentru
aplicații LPR)",,,"UIT-R F.385 ECC/REC/(02)06 EN 302 217
ECC/DEC/(11)02 ERC/REC 70–03
EN 302 729
Decizia 2013/752/UE (Nota 6)",,G(A)/NG,,
,,,,"Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,"ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,,,
,,,,Sisteme militare,,,,,,,
"7190,00 – 7235,00","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (Pământ–spaţiu)
5.460A  5.460B","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (Pământ–spaţiu)
5.460A  5.460B",,"Linii fixe
Senzori pasivi (satelit) (măsurarea temperaturii la suprafaţa mărilor, a vântului la
suprafaţa mării şi a umidităţii solului)
Aplicaţii de radiodeterminare
(în banda 6000-8500 MHz pentru aplicații LPR)
Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)
Sisteme militare",,,UIT-R F.385 ECC/REC/(02)06 EN 302 217,,G(A)/NG,,
,"CERCETARE SPAŢIALĂ
(Pământ – spaţiu)  5.460","CERCETARE SPAŢIALĂ
(Pământ – spaţiu)  5.460",,,,,,,,,
,FIX,FIX,,,,,,,,,
,MOBIL,,,,,,,,,,
,5.458,5.458,,,,,"ECC/DEC/(11)02 ERC/REC 70–03
EN 302 729
Decizia 2013/752/UE (Nota 6)",,,,
,,,,,,,"ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,,,
,,,,,,,,,,,
,,,,Aplicaţii posibile,,,Reglementări aplicabile/ Documente de referință,,,,
"7235,00 – 7250,00","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (Pământ–spaţiu)
5.460A","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (Pământ–spaţiu)
5.460A",,Linii fixe,,,UIT-R F.385 ECC/REC/(02)06 EN 302 217,,G(A)/NG,,
,"FIX MOBIL
5.458","FIX
Cercetare spaţială (Pământ– spaţiu)",,"Senzori pasivi (satelit) (măsurarea temperaturii la suprafaţa mărilor, a vântului la
suprafaţa mării şi a umidităţii solului)",,,,,,,
,,5.458,,"Aplicaţii de radiodeterminare
(în banda 6000-8500 MHz pentru
aplicații LPR)",,,"ECC/DEC/(11)02 ERC/REC 70–03
EN 302 729
Decizia 2013/752/UE (Nota 6)",,,,
,,,,"Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,"ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,,,
,,,,Sisteme militare,,,,,,,
"7250,00 – 7300,00","FIX
FIX PRIN SATELIT (spaţiu–
Pământ)","FIX
FIX PRIN SATELIT (spaţiu–
Pământ)",,Linii fixe,,,UIT-R F.385 ECC/REC/(02)06 EN 302 217,,G(A)/NG,,
,MOBIL,MOBIL,,"Stații de sol în Serviciul Mobil prin
Satelit (7250–7375 MHz)",,,,,,,
,5.461,"5.461
ECA36",,"Aplicaţii de radiodeterminare
(în banda 6000-8500 MHz pentru
aplicații LPR)",,,"ECC/DEC/(11)02 ERC/REC 70–03
EN 302 729
Decizia 2013/752/UE (Nota 6)",,,,
,,,,Sisteme militare terestre,,,,,,,
,,,,Sisteme spațiale (militar),,,,,,,
,,,,"Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,"ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,,,
,,,,,,,,,,,
,,,,Aplicaţii posibile,,,Reglementări aplicabile/ Documente de referință,,,,
"7300,00 – 7375,00",FIX,FIX,,Linii fixe,,,"UIT-R F.385 ECC/REC/(02)06 EN 302 217
ECC/DEC/(11)02 ERC/REC 70–03
EN 302 729
Decizia 2013/752/UE (Nota 6)
ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,G(A)/NG,,
,"FIX PRIN SATELIT (spaţiu–
Pământ)","FIX PRIN SATELIT (spaţiu–
Pământ)",,,,,,,,,
,"MOBIL cu excepţia mobil
aeronautic","MOBIL cu excepţia mobil
aeronautic",,Stații de sol în Serviciul Mobil prin Satelit (7250–7375 MHz),,,,,,,
,5.461,"5.461
ECA36",,"Aplicaţii de radiodeterminare
(în banda 6000-8500 MHz pentru
aplicații LPR)",,,,,,,
,,,,Sisteme militare terestre,,,,,,,
,,,,Sisteme spațiale (militar),,,,,,,
,,,,"Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,,,,,
"7375,00 – 7425,00",FIX,FIX,,Linii fixe,,,"UIT-R F.385 ECC/REC/(02)06 EN 302 217
ECC/DEC/(11)02 ERC/REC 70–03
EN 302 729
Decizia 2013/752/UE (Nota 6)
ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,G(A)/NG,,
,"FIX PRIN SATELIT (spaţiu–
Pământ)","FIX PRIN SATELIT (spaţiu–
Pământ)",,,,,,,,,
,"MOBIL MARITIM PRIN SATELIT
(spațiu-Pământ)  5.461AA
5.461AB","MOBIL MARITIM PRIN SATELIT
(spațiu-Pământ)  5.461AA
5.461AB",,Stații de sol în Serviciul Mobil prin Satelit (7250–7375 MHz),,,,,,,
,"MOBIL cu excepţia mobil
aeronautic","MOBIL cu excepţia mobil
aeronautic",,"Aplicaţii de radiodeterminare
(în banda 6000-8500 MHz pentru
aplicații LPR)",,,,,,,
,,ECA36,,,,,,,,,
,,,,Sisteme militare terestre,,,,,,,
,,,,Sisteme spațiale (militar),,,,,,,
,,,,"Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,,,,,
,,,,,,,,,,,
,,,,Aplicaţii posibile,,,Reglementări aplicabile/ Documente de referință,,,,
"7425,00 – 7450,00",FIX,FIX,,Linii fixe,,,"UIT-R F.385 ECC/REC/(02)06 EN 302 217
ECC/DEC/(11)02 ERC/REC 70–03
EN 302 729
Decizia 2013/752/UE (Nota 6)
ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,G(A)/NG,,
,"FIX PRIN SATELIT (spaţiu–
Pământ)","FIX PRIN SATELIT (spaţiu–
Pământ)",,,,,,,,,
