"Banda de frecvenţe
(MHz)","Atribuiri Regiunea 1 UIT şi
note subsol aplicabile CEPT",Atribuiri în România,Column1,Column2,Utilizări în România,Column3,Column4,Column5,Column6,Statut utilizare,Column7
"61,0000 – 61,5000",,,,,PMR,"T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,NG,
"61,5000 – 68,0000",,,,,Sisteme militare terestre ECA36,,,,,G(A)/NG,
,,,,,"Radare profil de vânt
(în gama 46-68 MHz, partaj geografic cu alte servicii)",,,,,,
,,,,,PMR,"T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"68,0000 – 70,4500","FIX
MOBIL cu exceptia mobil aeronautic
5.175","MOBIL
Amator ECA9 5.175
ECA36",,,"Sisteme militare terestre ECA36
PMR/PAMR de bandă îngustă
Aplicaţii pentru amatori
(în banda 70 – 70.3 MHz, în baza obținerii acordului prealabil individual)","ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039
EN 301 783",,,,G(A)/NG,
"70,4500 – 72,0000","FIX
MOBIL cu exceptia mobil aeronautic
5.149
5.175
5.177
5.178
5.179","MOBIL cu exceptia mobil aeronautic
Radioastronomie 5.149
ECA36",,,PMR/PAMR de bandă îngustă,"ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,NG,
"72,0000 – 73,0000",,,,,"Sisteme militare terestre ECA36
Aplicaţii pentru radioastronomie (Măsurări in domeniul continuu, în banda 73,0-74,6 MHz, radioastronomie pentru monitorizarea vânturilor solare)",,,,,G(A)/NG,
"73,0000 – 73,3000",,,,,PMR/PAMR de bandă îngustă,"ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,NG,
"73,3000 – 74,1000",,,,,Sisteme militare terestre ECA36,,,,,G(A),
,,,,,,,,,,,
,,,,,,,,,,,
"74,1000 – 74,8000",,,,,PMR/PAMR de bandă îngustă,"ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,NG,
"74,8000 – 75.2000","RADIONAVIGATIE AERONAUTICA
5.180
5.181","RADIONAVIGATIE AERONAUTICA
5.180",,,ILS/radiobaliza de marcare,,,,,G(A)/NG,
"75.2000 – 76,0000","FIX
MOBIL cu exceptia mobil aeronautic
5.175
5.179
5.187
FIX","MOBIL 5.175
5.179
5.187
ECA36",,,PMR/PAMR de bandă îngustă,"ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303-039",,,,NG,
"76,0000 -77,8000",,,,,"PMR/PAMR de bandă îngustă
Sisteme militare terestre Sisteme militare maritime ECA36","ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303039",,,,G(A)/NG,
"77,8000 – 79,0000",,,,,PMR/PAMR de bandă îngustă,"ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,NG,
"79,0000 – 79,7000",,,,,Sisteme militare terestre Sisteme militare maritime ECA36,,,,,G(A),
,,,,,,,,,,,
,,,,,,,,,,,
"79,7000 – 84,6000",,,,,PMR/PAMR de bandă îngustă,"ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 030 039",,,,NG,
"84,6000 – 85,0000",,"MOBIL 5.175
5.179
5.187
ECA36",,,"Sisteme militare maritime Sisteme militare terestre ECA36
PMR/PAMR de bandă îngustă","ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,G(A)/NG,
"85,0000 – 85,8000",,,,,PMR/PAMR de bandă îngustă,"ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,NG,
"85,8000 – 87,5000",,,,,"Sisteme militare terestre Sisteme militare maritime ECA36
PMR/PAMR de bandă îngustă","ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,G(A)/NG,
"87,5000 – 100,0000",RADIODIFUZIUNE 5.190,RADIODIFUZIUNE,,,"Radiodifuziune sonoră FM
(Acordul Geneva 1984)
Aplicaţii audio/multimedia pe suport radio
(în banda 87,5-108,0 MHz)","EN 302 018
ERC/REC 70-03
EN 301 357
Decizia 2008/432/CE (Nota 2)",,,,NG,
,,,,,,,,,,,
,,,,,,,,,,,
"100,0000 – 108,0000","RADIODIFUZIUNE
5.192",RADIODIFUZIUNE,,,"Radiodifuziune sonoră FM
(Acordul Geneva 1984)",EN 302 018,,,,NG,
,5.194,,,,"Aplicaţii audio/multimedia pe suport radio
(în banda 87,5-108,0 MHz)","ERC/REC 70-03
EN 301 357
Decizia 2008/432/CE (Nota 2)",,,,,
"108,0000 – 117,9750","RADIONAVIGAȚIE AERONAUTICĂ5.197
5.197A","RADIONAVIGAȚIE AERONAUTICĂ
MOBIL AERONAUTIC (R) 5.197A",,,"Comunicații aeronautice (siguranţă şi regularizarea zborurilor;sub 112 MHz limitat la emiţătoare la sol, pentru legături de date)",EN 301 842,,,,G(A)/NG,
,,,,,ILS / radiofar de directie (în banda 108-112 MHz),,,,,,
,,,,,"VOR (în banda 108-117,975 MHz)",,,,,,
,,,,,"GBAS (GBAS/VDB în banda 112- 117,975 MHz)
EN 303 084",,,,,,
"117,9750 – 121,4500",MOBIL AERONAUTIC (R) 5.200,"MOBIL AERONAUTIC (R) 5.200
ECA5",,,Comunicații aeronautice (siguranţă şi regularizarea zborurilor; EN 301 841-3 este pentru echipamente la sol) ECA5,"EN 300 676
EN 301 841
EN 301 842",,,,G(A)/NG,
"121,4500 – 121,5500","MOBIL AERONAUTIC (R)
5.111","MOBIL AERONAUTIC (R)
5.111",,,"EPIRB (Bandă disponibilă numai
pentru primejdie şi siguranţă)",EN 300 152,,,,G(A)/NG,
,5.200,5.200,,,"(EN 301 841-3 este pentru echipamente la sol.
Semnal de localizare pentru balize de aviație, maritime și personale  pentru scopuri de căutare și salvare)","EN 300 676
EN 301 841
EN 301 842",,,,,
"121,5500 – 136,0000","MOBIL AERONAUTIC (R) 5.200
5.201","MOBIL AERONAUTIC (R), (OR) 5.200
5.201
ECA5",,,"Comunicaţii aeronautice (123,1 MHz pentru comunicaţii mobile aeronautice în caz de primejdie; EN 301 841-3 este pentru echipamente la sol) ECA5","EN 300 676
EN 301 841
EN 301 842",,,,G(A)/NG,
,,,,,,,,,,,
,,,,,,,,,,,
"136,0000 – 137,0000",MOBIL AERONAUTIC (R) 5.202,"MOBIL AERONAUTIC (R) 5.202
ECA5",,,"Comunicaţii aeronautice (EN 301 841-3 este pentru echipamente la sol)
ECA5","EN 300 676
EN 301 841
EN 301 842",,,,G(A)/NG,
"137,0000 – 137,0250","METEOROLOGIC PRIN
SATELIT (spațiu-Pământ)","METEOROLOGIC PRIN SATELIT
(spațiu-Pământ) MOBIL
MOBIL PRIN SATELIT (spațiu- Pământ)  5.208A  5.208B  5.209
Exploatare spațială (spațiu- Pământ)
Cercetare spațială (spațiu-Pământ) 5.206
5.208
ECA6 ECA36",,,"Sisteme de comunicații personale prin satelit (Sateliţi non- geostaționari)
ECA6
Aplicații mobile (Mobil Aeronautic (OR), inclusiv aviație sportivă)
Aplicații prin satelit pentru meteorologie
Sisteme militare aeronautice Sisteme militare terestre ECA36
Sisteme prin satelit (militare)","ERC DEC (99)06
EN 301 721",,,,G(A)/NG,
,MOBIL PRIN SATELIT (spațiu- Pământ)  5.208A  5.208B  5.209,,,,,,,,,,
